Place,From Kingston,From Scranton,From Canadensis,Map / Link,Notes,Coordinates,Address
Pocolandia - The EPIC PlayPark!,55 min,47 min,30 min,Map,"344 Stroud Mall Rd #430, Stroudsburg, PA 18360 | Site: https://epicplaypark.kids/","40.989926, -75.224615","344 Stroud Mall Rd #430, Stroudsburg, PA 18360"
Imagi Nation,1 hr 5 min,1 hr 15 min,1 hr 9 min,Map,"3313 Hamilton Blvd, Allentown, PA 18103  •  (610) 841-5919 | Site: https://www.google.com/maps/search/?api=1&query=Imagi%20Nation","40.579384, -75.525325","3313 Hamilton Blvd, Allentown, PA 18103"
Slime Time II,1 hr 13 min,1 hr 24 min,1 hr 8 min,Map,"2845 Center Valley Pkwy, Center Valley, PA 18034  •  (610) 443-0871 | Site: https://www.google.com/maps/search/?api=1&query=Slime%20Time%20Entertainment","40.560158, -75.410096","2845 Center Valley Pkwy, Center Valley, PA 18034"
Lost River Caverns,1 hr 18 min,1 hr 18 min,1 hr 2 min,Map,"726 Durham St, Hellertown, PA 18055 | Site: https://lostcave.com/","40.580837, -75.330613","726 Durham St, Hellertown, PA 18055"
Crayola Experience,1 hr 21 min,1 hr 12 min,56 min,Map,"30 Centre Sq Cir, Easton, PA 18042 | Site: https://www.crayolaexperience.com/easton","40.690933, -75.209857","30 Centre Sq Cir, Easton, PA 18042"
Otherworld Philadelphia,2 hr 1 min,2 hr 12 min,2 hr 9 min,Map,"2500 Grant Ave #1, Philadelphia, PA 19114  •  Great for older kids | Site: https://otherworldphila.com","40.078106, -75.025012","2500 Grant Ave #1, Philadelphia, PA 19114"
Penn's Cave and Wildlife Park,2 hr 3 min,2 hr 15 min,2 hr 30 min,Map,"222 Penns Cave Rd, Centre Hall, PA 16828 | Site: https://www.pennscave.com/","40.882550, -77.611657","222 Penns Cave Rd, Centre Hall, PA 16828"
Libraries,,,,,,,
Lackawanna County Children's Library,27 min,5 min,45 min,Map,Lackawanna County. open Sunday,"41.410815, -75.659349","520 Vine St, Scranton, PA 18509"
Abington Community Library,38 min,15 min,51 min,Map,Abington,"41.485672, -75.718692","1200 W Grove St, Clarks Summit, PA 18411"
Back Mountain Memorial Library,15 min,34 min,1 hr 9 min,Map,"96 Huntsville Rd, Dallas, PA 18612  •  Has a toddler playroom | Site: https://luzernelibraries.org/back-mountain-memorial-library/","41.333050, -75.962673","96 Huntsville Rd, Dallas, PA 18612"
Albright Memorial Library Building Scranton Public Library,27 min,5 min,45 min,Map,"500 Vine St, Scranton, PA 18509  •  (570) 348-3000 | Site: https://www.google.com/maps/search/?api=1&query=Albright%20Memorial%20Library%20Building%20Scranton%20Public%20Library","41.411024, -75.659610","500 Vine St, Scranton, PA 18509"
Indoor Fun,,,,,,,
Toyota SportsPlex Ice skating Rink,9 min,28 min,1 hr 3 min,Map,"Toyota Sports Plex | Wilkes-Barre, PA","41.241667, -75.868395","38 Coal St, Wilkes-Barre, PA 18702"
Skateaway,13 min,26 min,1 hr 1 min,Map,Wilkes-barre Rink - Home,"41.223555, -75.885867","610 Blackman St, Wilkes-Barre Township, PA 18702"
Revolution Ice Centre,17 min,19 min,54 min,Map,Revolution Ice Centre | Ice Skating Facility & Hockey Training Program,"41.296219, -75.772774","12 Old Boston Rd, Pittston, PA 18640"
Electric City Axe Throwing,30 min,4 min,47 min,Map,"1141 Capouse Ave, Scranton, PA 18509  •  (570) 866-3228 | Site: https://www.google.com/maps/search/?api=1&query=Electric%20City%20Axe%20Throwing","41.421928, -75.654685","1141 Capouse Ave, Scranton, PA 18509"
High Tines Archery and Outdoors,28 min,9 min,41 min,Map,"116 Monahan Ave, Dunmore, PA 18512","41.430890, -75.616092","116 Monahan Ave, Dunmore, PA 18512"
940 Golf N'Fun,36 min,42 min,32 min,Map,"951 PA-940, Pocono Lake, PA 18347  •  Mini golf, trampoline; all ages except babies | Site: https://940golfnfun.com/","41.119018, -75.548845","951 PA-940, Pocono Lake, PA 18347"
"Pocono Biking, Jim Thorpe",46 min,57 min,59 min,Map,"7 Hazard Square, Jim Thorpe, PA 18229 | Site: https://parailbike.com/","40.863542, -75.737727","7 Hazard Square, Jim Thorpe, PA 18229"
Dingmans Shooting Range,1 hr 10 min,53 min,44 min,Map,"1497 PA-739, Dingmans Ferry, PA 18328  •  Allows children 10+ | Site: https://www.google.com/maps/place/Dingmans+Shooting+Range,+1497+PA-739,+Dingmans+Ferry,+PA+18328/data=!4m2!3m1!1s0x89c35f0891a0513d:0xd77b36fa0899b9d0!18m1!1e1","41.281529, -74.931781","1497 PA-739, Dingmans Ferry, PA 18328"
Scenic Train / Rides,,,,,,,
Lehigh Gorge Scenic Railway: Trademark of the Reading & Northern Railroad,48 min,58 min,1 hr 1 min,Map,"1 Susquehanna St, Jim Thorpe, PA 18229 • (570) 325-8485","40.863141, -75.737447","1 Susquehanna St, Jim Thorpe, PA 18229"
Reading Blue Mountain & Northern Railroad,1 hr 17 min,1 hr 29 min,1 hr 31 min,Map,"3501 Pottsville Pike, Reading, PA 19605 | Site: https://www.rbmnrr-passenger.com/pijt","40.576243, -76.024758","1 Railroad Blvd, Port Clinton, PA 19549"
Amusement / Day Trips,,,,,,,
Great Wolf Lodge | Pocono Mountains,54 min,45 min,24 min,Map,"1 Great Wolf Dr, Scotrun, PA 18355 | Site: https://www.greatwolf.com/poconos","41.059849, -75.322075","1 Great Wolf Dr, Scotrun, PA 18355"
Eagles Mere Toboggan Slide,1 hr 7 min,1 hr 26 min,2 hr 1 min,Map,"PO Box 56, Eagles Mere, PA 17731  •  Winter; ice toboggan | Site: https://www.eaglesmeretobogganslide.com/","41.412394, -76.581527","PO Box 56, Eagles Mere, PA 17731"
Pocono Guided Zip TreeVentures,1 hr 11 min,1 hr 3 min,35 min,Map,"1575 Fairway Blvd, East Stroudsburg, PA 18302  •  (800) 446-0231; aerial ropes course | Site: https://www.google.com/maps/search/?api=1&query=Pocono%20TreeVentures","41.071962, -75.036209","1575 Fairway Blvd, East Stroudsburg, PA 18302"
Land of Make Believe,1 hr 15 min,1 hr 7 min,46 min,Map,"354 Great Meadows Rd, Hope, NJ 07844  •  (908) 459-9000 | Site: https://www.google.com/maps/search/?api=1&query=Land%20of%20Make%20Believe","40.902847, -74.958016","354 Great Meadows Rd, Hope, NJ 07844"
Thrillz High Flying Adventure Park,1 hr 38 min,1 hr 49 min,1 hr 46 min,Map,"555 S Henderson Rd, King of Prussia, PA 19406 | Site: https://thrillzparks.com/king-of-prussia-pa/","40.079521, -75.355894","555 S Henderson Rd, King of Prussia, PA 19406"
American Dream,2 hr 3 min,1 hr 55 min,1 hr 35 min,Map,"1 American Dream Wy, East Rutherford, NJ 07073 | Site: https://betweencarpools.com/american-dream/","40.809129, -74.068567","1 American Dream Wy, East Rutherford, NJ 07073"
Ski / Snow,,,,,,,
Montage Mountain Resorts,25 min,16 min,51 min,Map,"1000 Montage Mountain Rd, Scranton, PA 18507  •  Skiing, snowboarding, lessons | Site: https://www.montagemountaingroup.com/","41.351243, -75.662917","1000 Montage Mountain Rd, Scranton, PA 18507"
Camelback Resort,54 min,45 min,28 min,Map,"193 Resort Dr, Tannersville, PA 18372 • Skiing, waterpark","41.052224, -75.346053","193 Resort Dr, Tannersville, PA 18372"
Stroller friendly hikes,,,,,,,
Back Mountain Trail,8 min,27 min,1 hr 2 min,Map,trail behind the cheder building in Luzerne. stroller friendly,"41.286338, -75.900631",
Frances Slocum State Park,18 min,37 min,1 hr 12 min,Map,"565 Mt Olivet Rd, Wyoming, PA 18644 • (570) 696-3525","41.340711, -75.892579","565 Mt Olivet Rd, Wyoming, PA 18644"
Bloomsburg Rail Trail,55 min,1 hr 7 min,1 hr 22 min,Map,"~3-mile out-and-back; flat gravel & asphalt along Fishing Creek. Bloomsburg, PA.","41.004129, -76.460635","Bloomsburg Rail-Trail, Bloomsburg, PA 17815"
Cherry Valley National Wildlife Refuge,1 hr,51 min,36 min,Map,"3.5+ miles paved (former golf cart paths) through wetlands & meadows. Stroudsburg, PA.","40.883408, -75.304598","Stroudsburg, PA 18360"
D&H Rail-Trail,1 hr 17 min,57 min,1 hr 32 min,Map,"Wide crushed-stone, gentle grade; access points across multiple NEPA counties. Union Dale, PA.","41.965990, -75.578079","D&H Rail-Trail, Lanesboro, PA 18847"
ForEvergreen Nature Preserve,1 hr 2 min,51 min,20 min,Map,"1-mile gravel loop through forest & meadow; bald eagle viewing. East Stroudsburg, PA.","41.060233, -75.216877","1539 Cherry Lane Rd, East Stroudsburg, PA 18301"
Greater Hazleton Rails to Trails,42 min,54 min,1 hr 8 min,Map,"~4-mile main section, flat crushed stone; Dreck Creek Reservoir views. Hazle Twp., PA.","40.941399, -75.947451","Greater Hazleton Rails to Trails, Hazle Township, PA 18201"
Hawk Mountain Sanctuary,1 hr 14 min,1 hr 27 min,1 hr 36 min,Map,"Silhouette Trail, crushed stone, max 8% grade to South Lookout. Kempton, PA.","40.633803, -75.986928","1700 Hawk Mountain Rd, Kempton, PA 19529"
Iroquois Trail,40 min,37 min,1 hr 11 min,Map,"3.6-mile round-trip crushed stone, gentle grades; Tunkhannock Creek. Tunkhannock, PA.","41.541563, -75.926391","51 Sunnyside Rd, Tunkhannock, PA 18657"
Lackawanna River Heritage Trail,28 min,8 min,46 min,Map,"70-mile system; Scranton-Taylor 3.5-mile stretch is paved with gentle inclines. Scranton, PA.","41.405306, -75.672188","Lackawanna River Heritage Trail, Scranton, PA"
Lake Scranton Walking Trail,25 min,10 min,46 min,Map,"3.5-mile paved loop around the reservoir, mostly flat. Scranton, PA.","41.389950, -75.631802","Lake Scranton Walking Trail, Pennsylvania"
Lehigh Canal Park,47 min,58 min,1 hr 1 min,Map,"Flat crushed-stone towpath on the D&L Trail along the Lehigh Canal. Weissport, PA.","40.816271, -75.673708","Lehighton, PA 18235"
Lehigh Gorge Trail,38 min,47 min,49 min,Map,"26-mile fine-gravel trail, slight downgrade; good for strollers, bikes & scooters. White Haven, PA.","41.051153, -75.771721","Lehigh Gorge Trail, White Haven, PA"
Levee Loop Trail,1 hr 2 min,53 min,27 min,Map,"4.5-mile mostly flat grass & gravel along Brodhead Creek. East Stroudsburg, PA.","41.002896, -75.191784","Levee Loop Trail, Arlington Heights, PA 18360"
Locust Lake State Park,55 min,1 hr 7 min,1 hr 22 min,Map,"1.3-mile paved Bicycle Trail loop + Oak/Ridge interpretive trail. Barnesville, PA.","40.783787, -76.120360","220 Locust Lake Rd, Barnesville, PA 18214"
Luzerne County Levee Trail,4 min,28 min,1 hr 2 min,Map,"12 miles paved along the Susquehanna; access to Kirby & Nesbitt Parks. Kingston, PA.","41.258592, -75.878220","Luzerne County Levee Trail, Kingston, PA 18704"
Luzerne County Rail Trail,18 min,23 min,57 min,Map,"1.8-mile paved/crushed stone, gentle grade; river views & public art. Pittston, PA.","41.320718, -75.798380","Luzerne County Rail Trail, Pittston, PA 18640"
Susquehanna Warrior Trail,24 min,39 min,1 hr 14 min,Map,"12.5-mile hard-packed crushed stone along the Susquehanna. Berwick, PA.","41.189389, -76.088826","Susquehanna Warrior Trail, Pennsylvania"
Trolley Trail,40 min,19 min,53 min,Map,"Clarks Summit-Dalton ~3 mi one-way; smooth surface, gentle grade. Clarks Summit, PA.","41.510349, -75.718707","Trolley Trail, Pennsylvania"
Wallenpaupack Lake Trail,1 hr 2 min,45 min,38 min,Map,"1.5-mile paved trail along the dike; lake views & learning center. Hawley, PA.","41.458969, -75.183618","126 Lamberton Ln, Hawley, PA 18428"
